,screen,pattern,filter_type,filter_width,slits_dist
133,-9.335,0.002018434557371726,Rectangular,10,4.0
134,-9.33,0.0020647237046885836,Rectangular,10,4.0
135,-9.325,0.0021127440037370365,Rectangular,10,4.0
136,-9.32,0.0021625015012630313,Rectangular,10,4.0
137,-9.315,0.0022140026035506965,Rectangular,10,4.0
138,-9.31,0.002267252843155352,Rectangular,10,4.0
139,-9.305,0.00232225514933079,Rectangular,10,4.0
140,-9.3,0.0023790140986351565,Rectangular,10,4.0
141,-9.295,0.0024375325486896368,Rectangular,10,4.0
142,-9.29,0.0024978142418203082,Rectangular,10,4.0
143,-9.285,0.0025598608910116895,Rectangular,10,4.0
144,-9.28,0.0026236721719345565,Rectangular,10,4.0
145,-9.275,0.002689249772641192,Rectangular,10,4.0
146,-9.27,0.0027565917935946783,Rectangular,10,4.0
147,-9.265,0.002825697465400113,Rectangular,10,4.0
148,-9.26,0.0028965631744203198,Rectangular,10,4.0
149,-9.255,0.002969186715668882,Rectangular,10,4.0
150,-9.25,0.0030435621558113253,Rectangular,10,4.0
151,-9.245,0.0031196851852684847,Rectangular,10,4.0
152,-9.24,0.0031975502063609123,Rectangular,10,4.0
153,-9.235,0.003277151149735232,Rectangular,10,4.0
154,-9.23,0.0033584808181014083,Rectangular,10,4.0
155,-9.225,0.0034415302073623924,Rectangular,10,4.0
156,-9.22,0.003526289481027935,Rectangular,10,4.0
157,-9.215,0.0036127476001076835,Rectangular,10,4.0
158,-9.21,0.0037008924018629235,Rectangular,10,4.0
159,-9.205,0.003790709377402128,Rectangular,10,4.0
160,-9.2,0.0038821868329108216,Rectangular,10,4.0
161,-9.195,0.003975307608975098,Rectangular,10,4.0
162,-9.19,0.004070056870430306,Rectangular,10,4.0
163,-9.185,0.0041664173892223605,Rectangular,10,4.0
164,-9.18,0.0042643708246453745,Rectangular,10,4.0
165,-9.175,0.0043639014158838845,Rectangular,10,4.0
166,-9.17,0.004464987124789874,Rectangular,10,4.0
167,-9.165,0.004567606418555338,Rectangular,10,4.0
168,-9.16,0.004671735453355132,Rectangular,10,4.0
169,-9.155,0.004777350169582799,Rectangular,10,4.0
170,-9.15,0.004884425441514191,Rectangular,10,4.0
171,-9.145,0.0049929342258881885,Rectangular,10,4.0
172,-9.14,0.005102851706123664,Rectangular,10,4.0
173,-9.135,0.005214148932160283,Rectangular,10,4.0
174,-9.13,0.005326795110347902,Rectangular,10,4.0
175,-9.125,0.005440762104997852,Rectangular,10,4.0
176,-9.12,0.005556015561981689,Rectangular,10,4.0
177,-9.115,0.005672524160583201,Rectangular,10,4.0
178,-9.11,0.005790255573754878,Rectangular,10,4.0
179,-9.105,0.005909171308518964,Rectangular,10,4.0
180,-9.1,0.006029234058284232,Rectangular,10,4.0
181,-9.095,0.006150406943594436,Rectangular,10,4.0
182,-9.09,0.006272650949255849,Rectangular,10,4.0
183,-9.085,0.006395925116848817,Rectangular,10,4.0
184,-9.08,0.006520190323153994,Rectangular,10,4.0
185,-9.075,0.006645404529417542,Rectangular,10,4.0
186,-9.07,0.0067715266718679674,Rectangular,10,4.0
187,-9.065,0.006898510644603547,Rectangular,10,4.0
188,-9.06,0.007026309017283516,Rectangular,10,4.0
189,-9.055,0.0071548769602532425,Rectangular,10,4.0
190,-9.05,0.0072841660148676175,Rectangular,10,4.0
191,-9.045,0.00741412781331977,Rectangular,10,4.0
192,-9.04,0.007544711604454941,Rectangular,10,4.0
193,-9.035,0.007675867140683637,Rectangular,10,4.0
194,-9.03,0.0078075410365347105,Rectangular,10,4.0
195,-9.025,0.00793968266242277,Rectangular,10,4.0
196,-9.02,0.008072239613785146,Rectangular,10,4.0
197,-9.015,0.00820515699965905,Rectangular,10,4.0
198,-9.01,0.008338380052491606,Rectangular,10,4.0
199,-9.005,0.008471851634853832,Rectangular,10,4.0
200,-9.0,0.008605514563335463,Rectangular,10,4.0
201,-8.995,0.008739312578250174,Rectangular,10,4.0
202,-8.99,0.008873188307374817,Rectangular,10,4.0
203,-8.985,0.009007079726553175,Rectangular,10,4.0
204,-8.98,0.009140926095498948,Rectangular,10,4.0
205,-8.975,0.009274666400422295,Rectangular,10,4.0
206,-8.97,0.009408239782304751,Rectangular,10,4.0
207,-8.965,0.009541586547938796,Rectangular,10,4.0
208,-8.96,0.009674643244441608,Rectangular,10,4.0
209,-8.955,0.009807347436850463,Rectangular,10,4.0
210,-8.95,0.009939638697445399,Rectangular,10,4.0
211,-8.945,0.010071450250004393,Rectangular,10,4.0
212,-8.94,0.010202720207912316,Rectangular,10,4.0
213,-8.935,0.010333383140597405,Rectangular,10,4.0
214,-8.93,0.010463374981047444,Rectangular,10,4.0
215,-8.925,0.010592628639482548,Rectangular,10,4.0
216,-8.92,0.010721080548022488,Rectangular,10,4.0
217,-8.915,0.010848664968679918,Rectangular,10,4.0
218,-8.91,0.01097531483458756,Rectangular,10,4.0
219,-8.905,0.011100967068083051,Rectangular,10,4.0
220,-8.9,0.011225556762479091,Rectangular,10,4.0
221,-8.895,0.011349020143963658,Rectangular,10,4.0
222,-8.89,0.01147129405842651,Rectangular,10,4.0
223,-8.885,0.011592310630154786,Rectangular,10,4.0
224,-8.879999999999999,0.01171200632835201,Rectangular,10,4.0
225,-8.875,0.01183031614315766,Rectangular,10,4.0
226,-8.87,0.011947177965139978,Rectangular,10,4.0
227,-8.865,0.01206252780986938,Rectangular,10,4.0
228,-8.86,0.012176301949642702,Rectangular,10,4.0
229,-8.855,0.01228843893203202,Rectangular,10,4.0
230,-8.85,0.01239887519219944,Rectangular,10,4.0
